"PMID","tsneClusterNames","sentence","clustSummary"
"33bf14aff364a7ce589e97d8021006f940b1f899","mer-respiratori","in the case of mers, the r 0 is currently less than 1 (most likely 0.5), indicating that mers-cov infection will inevitably die out; however, it is recommended, in such cases, to take into account the demographic stochasticity of mers-cov transmission (7) .","in the case of mers, the r 0 is currently less than 1 (most likely 0.5), indicating that mers-cov infection will inevitably die out; however, it is recommended, in such cases, to take into account the demographic stochasticity of mers-cov transmission (7) .....as of 27 november 2018, the world health organization (who) reported 2266 laboratory-confirmed cases of infection with mers-cov and 804 mers-associated deaths (about 36% fatality rate) in 27 countries (available online: http://www.who.int/emergencies/mers-cov/en/).....of the three mabs, m336 neutralized both pseudovirus and live mers-cov infectivity in cells with exceptional potency (m336 inhibited 90% mers-cov pseudovirus infection at a concentration of 0.039 g/ml, and neutralized live mers-cov with ic 95 of 1 g/ml and ic 50 of 0.07 g/ml).....as of june 2017, the world health organization (who) has been notified of 2037 laboratory-confirmed cases of infection with mers-cov and at least 710 deaths related to mers-cov, showing a much higher fatality rate (about 35%)  compared to sars-cov (less than 10%) [2, 3] .....the very high seroprevalence detected in camels warrants the initiation of an active surveillance study for mers cov in humans, particularly those that are at higher risks of exposure to mers-cov infections such as camel traders and abattoir workers."
"e68b0f3da8a02a8f0b86869e533eaf549f70ff9a","mer-respiratori","as of 27 november 2018, the world health organization (who) reported 2266 laboratory-confirmed cases of infection with mers-cov and 804 mers-associated deaths (about 36% fatality rate) in 27 countries (available online: http://www.who.int/emergencies/mers-cov/en/).","in the case of mers, the r 0 is currently less than 1 (most likely 0.5), indicating that mers-cov infection will inevitably die out; however, it is recommended, in such cases, to take into account the demographic stochasticity of mers-cov transmission (7) .....as of 27 november 2018, the world health organization (who) reported 2266 laboratory-confirmed cases of infection with mers-cov and 804 mers-associated deaths (about 36% fatality rate) in 27 countries (available online: http://www.who.int/emergencies/mers-cov/en/).....of the three mabs, m336 neutralized both pseudovirus and live mers-cov infectivity in cells with exceptional potency (m336 inhibited 90% mers-cov pseudovirus infection at a concentration of 0.039 g/ml, and neutralized live mers-cov with ic 95 of 1 g/ml and ic 50 of 0.07 g/ml).....as of june 2017, the world health organization (who) has been notified of 2037 laboratory-confirmed cases of infection with mers-cov and at least 710 deaths related to mers-cov, showing a much higher fatality rate (about 35%)  compared to sars-cov (less than 10%) [2, 3] .....the very high seroprevalence detected in camels warrants the initiation of an active surveillance study for mers cov in humans, particularly those that are at higher risks of exposure to mers-cov infections such as camel traders and abattoir workers."
"a4f120c79ea75052176f2c3d6a351485862a6ca8","mer-respiratori","of the three mabs, m336 neutralized both pseudovirus and live mers-cov infectivity in cells with exceptional potency (m336 inhibited 90% mers-cov pseudovirus infection at a concentration of 0.039 g/ml, and neutralized live mers-cov with ic 95 of 1 g/ml and ic 50 of 0.07 g/ml).","in the case of mers, the r 0 is currently less than 1 (most likely 0.5), indicating that mers-cov infection will inevitably die out; however, it is recommended, in such cases, to take into account the demographic stochasticity of mers-cov transmission (7) .....as of 27 november 2018, the world health organization (who) reported 2266 laboratory-confirmed cases of infection with mers-cov and 804 mers-associated deaths (about 36% fatality rate) in 27 countries (available online: http://www.who.int/emergencies/mers-cov/en/).....of the three mabs, m336 neutralized both pseudovirus and live mers-cov infectivity in cells with exceptional potency (m336 inhibited 90% mers-cov pseudovirus infection at a concentration of 0.039 g/ml, and neutralized live mers-cov with ic 95 of 1 g/ml and ic 50 of 0.07 g/ml).....as of june 2017, the world health organization (who) has been notified of 2037 laboratory-confirmed cases of infection with mers-cov and at least 710 deaths related to mers-cov, showing a much higher fatality rate (about 35%)  compared to sars-cov (less than 10%) [2, 3] .....the very high seroprevalence detected in camels warrants the initiation of an active surveillance study for mers cov in humans, particularly those that are at higher risks of exposure to mers-cov infections such as camel traders and abattoir workers."
"dc180c51f54487e4bbbd129c1cc2e30deacd3181","mer-respiratori","as of june 2017, the world health organization (who) has been notified of 2037 laboratory-confirmed cases of infection with mers-cov and at least 710 deaths related to mers-cov, showing a much higher fatality rate (about 35%)  compared to sars-cov (less than 10%) [2, 3] .","in the case of mers, the r 0 is currently less than 1 (most likely 0.5), indicating that mers-cov infection will inevitably die out; however, it is recommended, in such cases, to take into account the demographic stochasticity of mers-cov transmission (7) .....as of 27 november 2018, the world health organization (who) reported 2266 laboratory-confirmed cases of infection with mers-cov and 804 mers-associated deaths (about 36% fatality rate) in 27 countries (available online: http://www.who.int/emergencies/mers-cov/en/).....of the three mabs, m336 neutralized both pseudovirus and live mers-cov infectivity in cells with exceptional potency (m336 inhibited 90% mers-cov pseudovirus infection at a concentration of 0.039 g/ml, and neutralized live mers-cov with ic 95 of 1 g/ml and ic 50 of 0.07 g/ml).....as of june 2017, the world health organization (who) has been notified of 2037 laboratory-confirmed cases of infection with mers-cov and at least 710 deaths related to mers-cov, showing a much higher fatality rate (about 35%)  compared to sars-cov (less than 10%) [2, 3] .....the very high seroprevalence detected in camels warrants the initiation of an active surveillance study for mers cov in humans, particularly those that are at higher risks of exposure to mers-cov infections such as camel traders and abattoir workers."
"03f315449023c980e42af7eb150d0cd9cab57f5a","mer-respiratori","the very high seroprevalence detected in camels warrants the initiation of an active surveillance study for mers cov in humans, particularly those that are at higher risks of exposure to mers-cov infections such as camel traders and abattoir workers.","in the case of mers, the r 0 is currently less than 1 (most likely 0.5), indicating that mers-cov infection will inevitably die out; however, it is recommended, in such cases, to take into account the demographic stochasticity of mers-cov transmission (7) .....as of 27 november 2018, the world health organization (who) reported 2266 laboratory-confirmed cases of infection with mers-cov and 804 mers-associated deaths (about 36% fatality rate) in 27 countries (available online: http://www.who.int/emergencies/mers-cov/en/).....of the three mabs, m336 neutralized both pseudovirus and live mers-cov infectivity in cells with exceptional potency (m336 inhibited 90% mers-cov pseudovirus infection at a concentration of 0.039 g/ml, and neutralized live mers-cov with ic 95 of 1 g/ml and ic 50 of 0.07 g/ml).....as of june 2017, the world health organization (who) has been notified of 2037 laboratory-confirmed cases of infection with mers-cov and at least 710 deaths related to mers-cov, showing a much higher fatality rate (about 35%)  compared to sars-cov (less than 10%) [2, 3] .....the very high seroprevalence detected in camels warrants the initiation of an active surveillance study for mers cov in humans, particularly those that are at higher risks of exposure to mers-cov infections such as camel traders and abattoir workers."
"71cb2319da3251ef1b4bc99ce5c4ca633b2cb1b9","health-diseas","in order to better understand the fundamental concept of public health, we drew up a table of the categories used by the québec public health program and compared them to those of the who, the pan american health organization and the national public health.","in order to better understand the fundamental concept of public health, we drew up a table of the categories used by the québec public health program and compared them to those of the who, the pan american health organization and the national public health.....some authors described the field of public health as multidisciplinary, high-benefit, but undervalued and that researchers and practitioners need to influence the development of public health research within individual countries to promote public health research area  .....health had its own commissioner, its own opportunity to protect itself and public health benefits."" (#15, public health advisor/advocate) on the other hand, aspects of failure were mentioned regarding the detachment of health and social policy at eu-level.....in 2015, data from these studies were used during a one health zoonotic disease prioritization workshop in kenya, where q-fever was identified as one of the diseases that would benefit from integrated prevention and control programs using the one health approach  .....the prioritization of zoonotic diseases was carried out through a facilitated consultative process involving 36 experts in zoonoses from the public health (n = 19), animal health (n = 15) and wildlife health (n = 2), during a three day workshop in september 2015."
"77779295f3fcc05a193b349478b8730b226790c7","health-diseas","some authors described the field of public health as multidisciplinary, high-benefit, but undervalued and that researchers and practitioners need to influence the development of public health research within individual countries to promote public health research area  .","in order to better understand the fundamental concept of public health, we drew up a table of the categories used by the québec public health program and compared them to those of the who, the pan american health organization and the national public health.....some authors described the field of public health as multidisciplinary, high-benefit, but undervalued and that researchers and practitioners need to influence the development of public health research within individual countries to promote public health research area  .....health had its own commissioner, its own opportunity to protect itself and public health benefits."" (#15, public health advisor/advocate) on the other hand, aspects of failure were mentioned regarding the detachment of health and social policy at eu-level.....in 2015, data from these studies were used during a one health zoonotic disease prioritization workshop in kenya, where q-fever was identified as one of the diseases that would benefit from integrated prevention and control programs using the one health approach  .....the prioritization of zoonotic diseases was carried out through a facilitated consultative process involving 36 experts in zoonoses from the public health (n = 19), animal health (n = 15) and wildlife health (n = 2), during a three day workshop in september 2015."
"2d2b70166db15be7908f748930e9c56a300e5851","health-diseas","health had its own commissioner, its own opportunity to protect itself and public health benefits."" (#15, public health advisor/advocate) on the other hand, aspects of failure were mentioned regarding the detachment of health and social policy at eu-level.","in order to better understand the fundamental concept of public health, we drew up a table of the categories used by the québec public health program and compared them to those of the who, the pan american health organization and the national public health.....some authors described the field of public health as multidisciplinary, high-benefit, but undervalued and that researchers and practitioners need to influence the development of public health research within individual countries to promote public health research area  .....health had its own commissioner, its own opportunity to protect itself and public health benefits."" (#15, public health advisor/advocate) on the other hand, aspects of failure were mentioned regarding the detachment of health and social policy at eu-level.....in 2015, data from these studies were used during a one health zoonotic disease prioritization workshop in kenya, where q-fever was identified as one of the diseases that would benefit from integrated prevention and control programs using the one health approach  .....the prioritization of zoonotic diseases was carried out through a facilitated consultative process involving 36 experts in zoonoses from the public health (n = 19), animal health (n = 15) and wildlife health (n = 2), during a three day workshop in september 2015."
"edca7aed5e25c0b8888f93a5f78ce0a1b27ed1d7","health-diseas","in 2015, data from these studies were used during a one health zoonotic disease prioritization workshop in kenya, where q-fever was identified as one of the diseases that would benefit from integrated prevention and control programs using the one health approach  .","in order to better understand the fundamental concept of public health, we drew up a table of the categories used by the québec public health program and compared them to those of the who, the pan american health organization and the national public health.....some authors described the field of public health as multidisciplinary, high-benefit, but undervalued and that researchers and practitioners need to influence the development of public health research within individual countries to promote public health research area  .....health had its own commissioner, its own opportunity to protect itself and public health benefits."" (#15, public health advisor/advocate) on the other hand, aspects of failure were mentioned regarding the detachment of health and social policy at eu-level.....in 2015, data from these studies were used during a one health zoonotic disease prioritization workshop in kenya, where q-fever was identified as one of the diseases that would benefit from integrated prevention and control programs using the one health approach  .....the prioritization of zoonotic diseases was carried out through a facilitated consultative process involving 36 experts in zoonoses from the public health (n = 19), animal health (n = 15) and wildlife health (n = 2), during a three day workshop in september 2015."
"78c82f8e3198d5c95cbbcceabefddbe82e8f2442","health-diseas","the prioritization of zoonotic diseases was carried out through a facilitated consultative process involving 36 experts in zoonoses from the public health (n = 19), animal health (n = 15) and wildlife health (n = 2), during a three day workshop in september 2015.","in order to better understand the fundamental concept of public health, we drew up a table of the categories used by the québec public health program and compared them to those of the who, the pan american health organization and the national public health.....some authors described the field of public health as multidisciplinary, high-benefit, but undervalued and that researchers and practitioners need to influence the development of public health research within individual countries to promote public health research area  .....health had its own commissioner, its own opportunity to protect itself and public health benefits."" (#15, public health advisor/advocate) on the other hand, aspects of failure were mentioned regarding the detachment of health and social policy at eu-level.....in 2015, data from these studies were used during a one health zoonotic disease prioritization workshop in kenya, where q-fever was identified as one of the diseases that would benefit from integrated prevention and control programs using the one health approach  .....the prioritization of zoonotic diseases was carried out through a facilitated consultative process involving 36 experts in zoonoses from the public health (n = 19), animal health (n = 15) and wildlife health (n = 2), during a three day workshop in september 2015."
"84dc4e9ee5f8dd324d2d436d7c07c7d0044a58a4","dog-anim","elevation of ctni (dog 1: 0.36 ng/ml; dog 2: 0.59 ng/ml; dog 3: 4.56 ng/ml; dog 4: 7.69 ng/ml; dog 5: 9.23 ng/ml; median 4.56 ng/ml; iqr 0.59-7.56 ng/ml; normal <0.06 ng/ml) and cr (dog 1: 2.7 mg/dl; dog 2: 4.3 mg/dl; dog 3: 15.5 mg/dl; dog 4: 3.8 mg/dl; dog 5: 7 mg/dl; median 4.3 mg/dl; iqr 3.8-7 mg/dl; normal 0.7-1.2 mg/dl;) was detected in all dogs.","elevation of ctni (dog 1: 0.36 ng/ml; dog 2: 0.59 ng/ml; dog 3: 4.56 ng/ml; dog 4: 7.69 ng/ml; dog 5: 9.23 ng/ml; median 4.56 ng/ml; iqr 0.59-7.56 ng/ml; normal <0.06 ng/ml) and cr (dog 1: 2.7 mg/dl; dog 2: 4.3 mg/dl; dog 3: 15.5 mg/dl; dog 4: 3.8 mg/dl; dog 5: 7 mg/dl; median 4.3 mg/dl; iqr 3.8-7 mg/dl; normal 0.7-1.2 mg/dl;) was detected in all dogs.....four of these dogs were classified as puppies; three dogs were from the crcov n (% dogs) 95% ci 16 (7.5) 4.0 -11.0 9 (5.2) 1.9 -8.5 7 (17.0) 5.6 -28.6 2 (4.0) 0.0 -9.4 cpiv n (% dogs) 95% ci 14 (6.5) 3.2 to 9.9 11 (6.4) 2.7 to 10. adolescent subgroup and seven dogs were adults.....reference ranges (5-95th percentile) for left adrenal gland maximum thickness were as follows: 3.4-4.8 mm (dogs ≥2.5-5 kg), 3.4-5.6 mm (dogs >5-10 kg), 3.9-6.2 mm (dogs >10-20 kg), and 5.2-7.4 mm (dogs >20-40 kg); whereas for right adrenal gland maximum thickness were as follows: 3.2-5.5 mm (dogs ≥2.5-5 kg), 3.8-6.0 mm (dogs >5-10 kg), 4.2-7.7 mm (dogs >10-20 kg), and 5.4-9.4 mm (dogs >20-40 kg).....antibodies against cpv were detected in 20% of the animals aged less than 6 months (2/10), in 57.1% in dogs aged between 6 months and 1 year (8/14), in 87.5% in dogs with 1 to 2 years (14/16), in 85.3% in dogs with 2 to 5 years (29/34), in 75% in dogs with 5 to 7 years (6/8) and in 1/1 dog older than 7 years ( figure 1 ).....antibodies against cdv were detected in 30% of animals aged less than 6 months (3/10), in 50% of dogs aged between 6 months and 1 year (7/14), in 56.3% of dogs with 1 to 2 years (9/16), in 53% of dogs with 2 to 5 years (18/34), in 75% in dogs with 5 to 7 years (6/8) and in 1/1 dog older than 7 years (2011 samples) ( figure 2 )."
